lucode,ludesc,lutype
5300,ARTIFICIAL LAKES,WATER
5410,"TIDAL RIVERS, INLAND BAYS, AND OTHER TIDAL WATERS",WATER
5411,OPEN TIDAL BAYS,WATER
5412,TIDAL MUD FLAT,WATER
5420,DREDGED LAGOON,WATER
5430,ATLANTIC OCEAN,WATER
6110,SALINE MARSHES,WATER
6111,SALINE MARSH (LOW MARSH),WETLANDS
6112,SALINE MARSH (HIGH MARSH),WETLANDS
6120,FRESHWATER TIDAL MARSHES,WETLANDS
6130,VEGETATED DUNE COMMUNITIES,WETLANDS
6141,PHRAGMITES DOMINATE COASTAL WETLANDS,WETLANDS
6210,DECIDUOUS WOODED WETLANDS,WETLANDS
6220,CONIFEROUS WOODED WETLANDS,WETLANDS
6221,ATLANTIC WHITE CEDAR WETLANDS,WETLANDS
6230,SCRUB/SHRUB WETLANDS,WETLANDS
6231,DECIDUOUS SCRUB/SHRUB WETLANDS,WETLANDS
6232,CONIFEROUS SCRUB/SHRUB WETLANDS,WETLANDS
6233,MIXED SCRUB/SHRUB WETLANDS (DECIDUOUS DOM.),WETLANDS
6234,MIXED SCRUB/SHRUB WETLANDS (CONIFEROUS DOM.),WETLANDS
6240,HERBACEOUS WETLANDS,WETLANDS
6241,PHRAGMITES DOMINATE INTERIOR WETLANDS,WETLANDS
6250,MIXED WOODED WETLANDS,WETLANDS
6251,MIXED WOODED WETLANDS (DECIDUOUS DOM.),WETLANDS
6252,MIXED WOODED WETLANDS (CONIFEROUS DOM.),WETLANDS
6290,UNVEGETATED FLATS,WETLANDS
6500,SEVERE BURNED WETLAND VEGETATION,WETLANDS
7100,BEACHES,BARREN LAND
7200,"BARE EXPOSED ROCK, ROCK SLIDES, ETC",BARREN LAND
7300,EXTRACTIVE MINING,BARREN LAND
7400,ALTERED LANDS,BARREN LAND
7430,DISTURBED WETLANDS (MODIFIED),WETLANDS
7440,DISTURBED TIDAL WETLANDS,WETLANDS
7500,TRANSITIONAL AREAS,BARREN LAND
7600,UNDIFFERENTIATED BARREN LANDS,BARREN LAND
8000,MANAGED WETLANDS (MODIFIED),WETLANDS
